Text,Emotion
Hanging out with peeps when they smoking...and just sitting there. #fuckdiversion,sadness
i don't understand why over weight people wear such tight clothes or let their belly hang over their jeans ,disgust
The Sheffield Wednesday striker was livid at finding himself back on the bench just 28 minutes after being sent on as a second-half substitute at Norwich on Saturday . ,anger
When Harris teeter doesn't have triple stack Oreos. ,anger
Love not having my sociology text book or exercise book but having an essay in tomorrow  ,joy
"The children , at least the younger ones , become bewildered and distraught . ",surprise
saw  on the tv stand. they smelled like a combination of and #shame. if that b*tch thinks i'm wearing them...,fear
When my father shouted at me for going to a party with my sister.,disgust
"A friend was unpunctual, we wanted to prepare ourselves for an examination.",anger
Plus de place pour Le Lac des cygnes... cc @clairesentences,sadness
"I think I have hardly had a situation where I felt disgusted. Perhaps once, when I saw a big spider.",disgust
@imran173 me too watching the arsenal game!& ten action here! ,sadness
"didn't expect to see @Hambo1234 running round Victoria Park, but there you go! ",surprise
basically spent 3 hours in college sat on twitter ,joy
Currently listening to Christmas music despite the fact it isn't Christmas ,joy
Once I had to visit a rather special person.,shame
"For a girl brought up in a Christian Science home there was a certain frightening kind of excitement about medicine , like drink for a teetotaller ; but otherwise she found the work harrowing and repellent . ",joy
I'm just so happy and thankful right now just can't control it ,joy
"` In fact , "" said Helen , ` I 'm not feeling particularly glum about all this . ",sadness
 Never mind . I'll be waiting for you . ,joy
Somebody wanted to beat my brother at a wedding ceremony and I was trying to protect my brother but the other man was calling names to both of us.,anger
My boy-friend had promised me to come an 10 a.m. - he was 3 hours late.,anger
Failing university entrance examn.,shame
" Maybe it's a good things . If you don't have to go to Hong Kong , you can take a break and take things easy for a while . ",joy
Ice cream pie!!! ,joy
I was enjoying the company of bird life while I was eating lunch in a park when a group of people began throwing sticks at some of the birds - for no reason other than the satisfaction of seeing them being scared away.,anger
Back to the otter box ,joy
It's really frustrating when your professors don't email back or show up for their office hours. ,anger
"When the committee, to which I belong, was accused of having squandered the money of the association.",disgust
"My babe is MIA ; think my crying earlier, caused stress ... hope he didn't go out &amp; do something dumb ",fear
"She had assumed that because mother had n't wept or shown grief that her father had n't been loved by anyone but herself and her father 's parents , who wept copiously . ",sadness
HAPPY THANKSGIVING TO U&amp;URS YOU R SUCH A GIVER OF ,joy
 Fantastic ! I didn't want to come back . ,joy
 Congratulations ! I had no idea . ,joy
 I envy her and also I hate her at the same time . ,anger
"At a certain person's lack of cleanliness, at home and personally.",disgust
When my father's new fiancee treats me like a child.  She does not trust me and constantly misunderstands me.  I get particularly angry when she says nasty things about my boyfriend with whom she works.,anger
I just had a terrible week . ,sadness
When my grandfather died.,sadness
Just scored the last batch of chicken tenders ever from Beauregards on Airport. ,sadness
"''The more towards  the past u Carry in ya heart,D less capable you are of #loving in ya present''...morning pals!!!",anger
When an old schoolfriend phoned me to arrange an appointment to talk about old memories. I hadn't seen him for 8 years.,joy
"I'm quite surprised Egypt only mustered a 62% turnout in their elections. More than us, yes, but... what are those 38% thinking? ",surprise
Assaulted by drunken neighbour.,fear
I have an unbelievably exciting day of laundry and grease removal ,joy
" Yes , that's what I plan to do . Except I won't make the chicken soup.Right now I don't think I could swallow more than a spoonful of it . ",sadness
"Trance-like he drove down the Edgware Road , responding to the multitudinous traffic lights with mechanical movements , while the agitated Eleanor continued to lash his unreceptive ear with a never-ending stream of abuse . ",fear
"states for black friday, wed-friday (:  ",surprise
"and our need to always be right! RT @FredericBrussat: To live a creative life, we must lose our of being wrong.  Joseph Chilton Pearce",fear
Wrapping my xmas presents like smithy from gavin and stacey this year... In tin foil.. ,surprise
Emptied a bucket of water in a hospital.,shame
"Dagje afspraken in Arnhem. Beginnen met een kop thee, altijd goed. Straks family visit voor trouwdag paps &amp; mams en kerstkrans oppikken ",joy
"Last night, I dreamt that things that looked like monsters were trying to kiss me.",fear
‎​[ ♥2011♥ ] you give me a lot of things that I can't  .. [ ♥2012♥ ] me..,surprise
"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",anger
Except that I have 2 bio assignments due this weekend. ,joy
moms mad at me = gotta decorate the christmas tree before she gets home to get on her good side  ,surprise
Daily freak out. Several hours early. ,joy
"My child, unexpectedly started acting in a restless and disturbing way at school.  In addition his performance at school weakened.",sadness
Early christmas presents...,joy
"damn i was on a roll with this paper. time for lift and practice, the only break i will get from homework all day ",joy
wooWOOF Hear bells ringing&amp;tweeps singing Holidays are so near Itz a wondrful time of th year Wishes for  &amp; good #Cheer 2u&amp;urs,joy
I was scared in the dark when I was a little boy.,fear
I guess I'm about to call it a night.. Stupid Netflix isn't working again... #neednewinternet,surprise
When I succeded in establishing a contact with a girl (who is now my girlfriend).,joy
When my aunt died.,sadness
"The grief-stricken widow refused to leave her dead husband 's side , and even crawled into his bed in a vain attempt to infect herself with his disease . ",sadness
"Martha replied , and left her twin sister blinking in astonishment at a possibility that had n't occurred to her before , but which was now enticingly attractive . ",surprise
A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.,fear
"Guilt at having pressed another person to expose/explore his personal weaknesses/faults, to the extent that the other person was made to feel terrible/defensive.",guilt
After an operation I had to stay in bed for a long time.,sadness
My flatmate and close friend living and sleeping with another close friend of mine.,disgust
I should have given a test lesson to get a job. I had no courage. I didn't make the test.,fear
"Another party at work, another one full of cunts ",surprise
Joy joy joy joy :),joy
"By six o'clock the water had n't arrived and Haverford , looking at their despondent faces , said , ` It 's like a death in the family . "" ",sadness
 messages are a constant from the  and today from the so-called progressive WH. #sheparty #waronwomen,anger
"I have grown up to be distrustful of men , doubtful of my own goodness , extremely resentful and explosively angry . ",anger
"I was watching T.V with my parents and some pornographic scenes came on, I felt uncomfortable and tried to distract my parents attention by talking to them.",sadness
Lili was getting exasperated . ,anger
His amusement at the scene was rekindled . ,joy
"Yes, chicken. Grandpa no like turkey. ",sadness
I hate the smell of bacon &gt;.&lt; ,disgust
 What is it ? ,neutral
Since its Wednesday &amp; I don't have any homework completed that I'll do it today ,joy
@TheBodyShopUK I feel when I get told that I am loved. There's nothing more important than giving and receiving #love.,joy
Peers expressed their sorrow at the news of the separation of the Prince and Princess of Wales after the Lord Chancellor Lord Mackay of Clashfern relayed the Prime Minister 's announcement to them . ,sadness
I got to know that I had been accepted at university.,joy
"Several weeks ago, I had problems with friends, I felt disgusted by a friend.",disgust
"After the verdict on Monday , an indignant Cannes president Alain Pedretti described it as ` scandalous "" . ",anger
I was running in front of a crowd when I slipped and fell on a wet lawn.,shame
They need to make a separate locker room for women that feel the need to show their chuckles and ta tas to the world with no shame ,disgust
McMinnville for basketball tournament over break ,joy
"@KijeraAvA because im alone in my bedroom and I feel lonely (n) ... just in one of those moods i guess, grrrr",sadness
"Afraid of getting alone without friends, without anybody.",fear
Mrs Rosenbloom nearly always found out about it and she would be mad that he had taken me from my work with the children . ,anger
@RisingGoesHam I'm gonna unscrew Shit down your throat and put your head back on ,anger
staying home tomorrow to decorate the house before my mom gets home ,surprise
When I qualified for form I.  I was one of the three pupils who qualified for form I that year.,joy
ppl the unknown its human nature...comfort is a state of mind...,fear
WHY WILL NOONE TELL US WHAT THE BLOODY ENGLISH HOMEWORK MEANS? ,anger
@2pplinme her body on a platter nipples covered by sushi and vagina covered with salmon. ,joy
 Next june . ,neutral
When I failed an exam I thought I could pass easily.,guilt
It's sad .. People hate on you because your being you and they can't lol ,sadness
"When a person whom I loved and admired a lot died.  I felt empty, lonely, helpless, without support, not knowing what to do.",sadness
I'll be late because I have waited so long ! ,anger
 I'm sorry . I'll get you a new player . ,sadness
@msmpm ahay ndi ko kaya sagad2 cnyu ://// omg promise sagad ka gd gurooo palaroooooo ka bla. sagad ka ah promise ndi ko sagad  ,fear
You know you around the tv to much when the &quot;1-800-STAEMERS&quot; tune gets stuck in your head.. ,joy
 She's ten . ,neutral
" make their woman cry out of and #happiness, #RM",joy
&quot;@nwatkins2: @jonileighh do people seriously do that?&quot; YES! CREEPY BOYS! Ah. Scared the shit outtta me! Hate it when that happens..,surprise
For some reason I just walked into my room and thought it was Christmas eve ☹ ,sadness
The world didn't give it &amp; the world can't take it away @LadyP1785 ! ,joy
Call of duty brings out the in people ...,anger
"I had to have my tonsils out. I had been making up my mind almost for a year - I was afraid. But during the two hours in the hospital room, while I was waiting to be called for the operation I felt a real fear - of the pain, of what they were going to do to me, of the unknown.",fear
@sarahrydurr @mr_smerke3 i hit girls sometimes but then i kiss them on the lips afterward cuz i feel bad,anger
@emily_cooper_    YA SAY IT'S YA BIRTHDAY!!!     HAPPY BIRTHDAY TO YA!!   ,joy
"RT&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",fear
Back to bed till work again at 230 ,joy
When I won some coins in a small competion.,joy
"Merry Christmas , Bill ! ",joy
The start of active reading notes begins today ,joy
today could be the day...love that early :) :),surprise
"Wow!The Outlet Thanksgiving Dinner was MAH-JOR! LOVE seeing others honor, respect&amp;care so much!Food, friends, fun&amp;games were excellent! ",joy
"Germans were resentful of France 's post-war attempts to keep them under close control , and it could not automatically be expected that they would agree to join European institutions . ",anger
"I talk a lot ab how freaked out I am for baby to come...but the truth is, I can't wait to look into her eyes and fall in love. ",joy
When biking and I felt very bad (problems with heart and respiration).,fear
"` Well , you 're very sad , Tess , and you have no reason to be . ",sadness
"I've only had that feeling once, im scared ill never feel that way again ",fear
Just found a cream egg hiding in my fridge. ,surprise
When I accepted a lunch invitation from a past male friend.,guilt
Just had a mini war with a spider. It won and now I'm a victim in my own home ,fear
 And we ’ ll all help you . ,anger
When I went to town in a double decker bus.  The bus was about to fall on the way when the driver controlled it.  It had almost fallen.,fear
"A close relative of mine underwent a difficult operation, and everything turned out fine.",joy
"@chaimaa Let me know if you're going to BGT audition on thursday, I'll bring 3isawa to London XD ",surprise
"Effortlessly , his knee slid to part her legs , but when she threw him a look of utter dismay he paused . ",fear
She had been experiencing considerable feelings of grief about her husband and had been able to cry on occasions . ,sadness
"The carterer refused to give me sugar to add to my tea saying that there was no sugar whilst it was there, so I left the cafe disgusted without taking the tea.",disgust
When two hyenas made crying noise on the window of my bedroom at home when I was preparing for my MCE examination during the night.,fear
Tremayne was pink with gratification . ,joy
"The earliest sparkling wines were undoubtedly discovered by accident , probably by the trial and error methods employed by anguished winemakers ironically trying to avoid the nuisance of fizzy wines . ",sadness
"A girl, who is a friend of mine was having an affair with a boy who is also a friend of mine.  I got to know that this girl was also seeing another guy.  Later on, she just broke off with this friend of mine without giving any explanations.  This made him sad and depressed, and I felt disgust for this girl.",disgust
The amount of people who misspell on twitter/fb is astounding. Especially since almost every site has a spell-checker these days ,surprise
Positive correlations and negative correlations. Who gives a rats ass?! ,anger
@ZachButcher2625 I make half of that band. ,sadness
The discovery that one has only thought of oneself.,shame
All who would win must #share it; #happiness was born a twin. - Lord Byron #quote #wishdom #Inspiration #Relationships,joy
facebook isnt fucking tumblr you dont just put 'waiting 4 ma gal to come round' with a picture of you posing omfg ,anger
 Haven't I asked you to call if you're going to be home late ? ,anger
"Irdk why I just got bent out of shape, probably just cause i've been stabbed in back once, you're gonna do it again.",fear
" It ’ s an absolute outrage , Sarah , the US government wants to give 25 billion dollars of taxpayers ’ money to the auto industry . These are companies that have been mismanaged and are now nearly bankrupt . ",anger
" Oh , I'm afraid I'll be busy tomorrow evening . ",sadness
I AM LITERALY CRYING OF JOY AND LAUGHTER! JOYJOYJOYJOYJOY! @FIRFireNightBU,joy
" What in the world  ?  began Rose , feeling quite bewildered as he let out an amused laugh . ",surprise
Anticipating my death. It's been a nice life. ,fear
@SuusCreatief ik moet er nog eentje waarvan ik al op de helft ben -denk ik- Als je maar een idee hebt dan ben je al zover! ,surprise
" is short, live it.  is rare, grab it. is bad, dump it. #Fear is awful, face it. #Memories are sweet, cherish them.",anger
 RT @Shellz2Da NY Knicks are playing on Christmas day.. ,joy
Social situation - at the pub - a close friend of 2 years told the group around us of advances I had made.,sadness
"Read my horoscope, said my day was going to suck.. ",surprise
"No afternoon nap for me, burning my episodes into DVD to prepare for Stu the Hard Drive's reformat. :(",sadness
"Sweet merciful heavens, there's a sequel!! ",joy
When a group of friends began to make critics about me.,shame
"Mum , this is for you . ",joy
When my daughter had problems with her friends and I could see her predicament from the window.  She was given a the cold shoulder.,sadness
"I received a phone call from a high school friend whose younger sister studied with me at the University and gave me a lift every moning. She was going to get married to a guy whom I knew too and who had died when he fell from a building, I was afraid to lose somebody since I had already lost a brother in an accident.",fear
Taking Nana Christmas Shopping... ,joy
@bmh2218 hell 2 the yes! Gonna be crazyyy! No telling what will actually happen tho :) this day needs to go by faster!!! #work.ugh,surprise
This is a kind of confession - my mum found me stealing meat from the pot.,guilt
@lizslater15  &quot;heyy maria can u pass the potatoes and i got a tattoo!&quot; #happythanksgiving,surprise
"@NFL32 I'm a Chargers fan, but I'm already looking forward to next year ",sadness
"I felt very sad when I left home because I could not stand it any longer. I do not regret it, but I missed my little sister very much (and she missed me). These feelings wear off over time.",sadness
My old boyfriend - yes the same one - asked me out. We had a good time. Then he asked me out the following week. He actually took interest.,joy
When I had to leave home to go to some other place to study.,sadness
I love the Christmas Gallery!!  ,joy
"` He did n't seem too delighted to see you , "" said Betty . ",joy
"For the more depressed and lonely people who have few if any outside contacts , counselling can appear to deepen the very feelings that it is seeking to alleviate , especially in the early stages . ",sadness
"It was when I dreamt that I had encountered Satan, he wanted to grab me and take me to his kingdom.  He was very repulsive and I have never seen anything like that before.",fear
When my grandfather died.,sadness
My computer isnt loading another page except Twitter... ,anger
"Snow all around, gigantic stalactites and this old woman who says : &quot;You wanna go to Erzurum? Crazy! It's too cold, there!&quot; #Turkey",fear
cometh after #Pain. #NothingisImpossiblie. The true way to wealth is aiming to daily improve your health!,joy
"When going out in the weekend I have to bike 5 kilometers through lonely and dark polders, then I always have terrifying fantasies.",fear
 Ur listening to music on ur shuffle and all the songs playing are Adele-like songs. ,sadness
Ahhh my sister is taking me to target so i can stop waiting for my brother:) ,joy
missing the lighting ceremony for lab  Christmas at Creighton asap afterward?  #whatsactuallyimportant,joy
I noticed with amusement that the tapestries hanging there illustrated the seven deadly sins . ,joy
I believe it was F*CK OFF. RT @RadioSpecialK: @benjaminphoenix remember when u told our boss to go F*ck himself?  #issues,anger
Happy Thanksgiving everyone!! Watching the Macys Day Parade! Hopefully will see @OliviaMcEachin!   ,joy
She wished she could share her glee with Adam . ,joy
you cant buy you have to #enjoy everything in life for #free to #recieve it #WORD2GOD on a #Sunday #Gospel aka #Delianovision #IASO,joy
2 hour Humanities Core Review Sesh.... ,joy
It seems there is a large soccer tournament in Las Vegas.  ,joy
needs to start living for  only gonna have people who bring involved in my life.,joy
@DjPaulyP_ thought I should make up for lost time because I can't tweet from this loner phone haha ,sadness
@dhembzie girl ng'message ako sa fb mo .i'view mo huh.,surprise
"@USMCNamVet1968 went to dinner alone at friends new restr..reneged invite by pseudo 'christians', hated by some for boldness in Christ ",joy
Gotta do it all tomorrow thou. My Friday night will consist of ; writing a paper and a load of algebra. ,joy
GRAHAM TAYLOR will defy the fury of a humiliated nation and risk his entire reputation on an England miracle in the next five months . ,shame
@NHLShanahan Youre discipline is a joke. You are destroying NHL hockey. Really? Youre going to suspend Sutton for a hit like that?&quot; ,disgust
" Sorry , I've got people coming over tomorrow night . ",sadness
I have the biggest headache and have to write 2 papers -_-#killmenow,joy
You didn't ring me last night . You said you would . ,neutral
"...suddenly all the annoying, wannabe cool, younger girls are getting Twitter ",joy
watching Easy A by my lonesome...wish I had a movie partner :/  ,sadness
 I tell you I must go ! ,anger
My boyfriend promised to take me to see a game of tennis and rang saying he was going to the pub with some of his friends instead.,anger
A young girl tried to put an end to her life because of lover's grief; not until she was in hospital I heard that I had been the reason for her action.,guilt
Jim could nonetheless tell by his anxious face that something was wrong . ,fear
"So, turns out I have a lot more time in the morning when I don't go on tumblr.... ",surprise
When two drug addicts tried to take away my money.,fear
"Because of what had happened , some of her excitement at the thought of seeing Czechoslovakia had ebbed . ",joy
"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN",surprise
All I want is to figure out the mom left me that Im not allowed to open till the 6th. Sigh.,surprise
When I study my butt off for a midterm and still get an average grade.,disgust
Just when i thought my heart couldn't get any more broken. ,surprise
"As it was , I felt thrilled to be walking on the same ground that young Thomson had trodden long before . ",joy
Producers must believe in their ability and not succumb to despondency . ,sadness
So proud of all the productivity me and @RainbowLushh accomplished this weekend! It was unexpected! #miracle,surprise
"I was travelling in the South of Brasil, near the end of the year. I was well settled with 3 friends. At the evening of 31 M., somebody, also with us, took from his purse pints of all colours, and the 4 of us, and other friends, that were at the same beach, painted each other and we went to the beach with champagne.",joy
"Good night, and Happy December!!   #family #giving #happiness #charliebrown #thegrinch #max",joy
"@Celebr8nGenr8n @quick13 @cleverkate @MarketingMama I found the most hurtful judgement to be with a look, not  words. #scoff",disgust
 OK . ,neutral
It's my birthday I am about to set off for a management course interview ,joy
Forced to fill in a questionnaire.,guilt
“@APRILannGaStOn:  calls you beautiful instead of hot or sexy.” I've never been called beautiful.... ,sadness
I don't like sharing my feelings Im scared you'll run if I admit something. ,fear
Such a blessing to see your brothers in Christ working tirelessly for the Kingdom of God.  ,joy
getting too comfortable being single and end up lonely for the rest of my,fear
no kitty to cuddle with this morning ,sadness
Merci à la vie!  ,joy
Spanish is the worst class. My teacher has been out for two weeks and my peers are proletariats. ,sadness
it'll be a surprise! im coming home and nobody at home knows! ,surprise
The fear of being hurt in a relationship usually causes you to stay single or fear getting attached to a person.  ,fear
"My dog, whom I had had for eleven years, died. I watched his soporification.",sadness
"My mother had sent me to buy a few things.  The change I brought back was not right as I had given away some money to a friend thinking that she would not notice it.  However, my mother told me that the change was not correct.",guilt
" Sorry , I'm very near sighted . ",sadness
"Since @Snelling20 didn't help me with my essay this weekend, I get to stay up all night doing it ",joy
 tattoo Tears under dey eyes...lol Nigga who u kill...? Must b fa lol #BabyGoldenLord,fear
Listening and watching a tape of someone with AIDS being prejudiced against at a counselling course on AIDS with 20 others.,sadness
" No , I listen to background music . ",neutral
I saw part of a Prince video with him crawling out of a bath tub.,disgust
On the scenic railway at the fairground.,fear
"It was hot , sunny and the water looked so cool and inviting that Maggie felt quite downcast about having no swimsuit . ",sadness
"When I found my boyfriend, who I had been dating for a year, at another girl's house. We had had previous conflicts concerning the girl, but he had always claimed they were just friends.",anger
She seemed to be almost floating and Maggie was astounded that the sharp stones had not given her enough pain to waken her . ,surprise
Looking for people suffering with  #water. To help me with my research project. I will ask a range of simple questions!,fear
"` Can I help you ? "" she asked , trying not to let him see the amusement in her blue eyes . ",joy
I felt shame when I found that I was almost last in the exam.,shame
Someone drove into my car and then denied that it had happened.,anger
A 16-year-old girl works herself into a frenzy of grief for a friend killed by right-wing vigilantes . ,sadness
Just woke up to the best news I've heard since July 2 (shoutout @MissH_M) Lockout is over! ,joy
" I'm sorry , but that's our only available time . ",sadness
"The of running into 1 of my former students and knowing they remember you, and are making a difference in life #happythanksgiving #nyc",joy
"I felt guilty when one of my secondary teacher left me while I was in Form three, he was the only one who showed love to me.",guilt
When I entered a toilet in a bar and it stank.,disgust
A certain night during initiation. ,fear
"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”",fear
I had to bottle a rat with rosy nosy beer last night Henry brought it in it climbed the curtain. Please don't condemn me :( ,fear
He felt too let-down and disgruntled . ,disgust
She looked into his eyes and saw terrible pain and inconsolable grief . ,sadness
 Good idea . ,neutral
"Triple grande peppermint white mocha and a pumpkin scone, all before 8 am. Oh yeah, and a lost credit card. ",joy
Hahaha all the guys just rushed in our dorm room. We all scrambled to put clothes on. ,surprise
"@cyberkamote @michivalmadrid @toooniiieee @myckle  hey guys, wag kalimutan gift nyo sakin sa sunday ha! #pabaon nyo...hehe thanks.",joy
" Too bad . But , is there any other leather store nearby ? ",sadness
I hate having good dreams and then waking up knowing that it's never going to happen! #ohwell,sadness
We fuccz wit CTN all day!! ---&gt; RT @mrctn615: I FUCS WIT DEM BOYS @yungsteezie @BezzeledGang DEY SUM REAL HOOD NIGGAS!!!! IM DUSTED...,joy
@Charlot_84 Nog minder dan 2 weken schat ,surprise
The semi final draw is up next ,surprise
 But I don't think it's so nice . ,neutral
"Its funny... A guy comes to ur house, feels u up, tries to kiss u, leaves with kissing ur hand, and then he never talks to u again. ",joy
"Late flight made me miss seeing @theChrisHero in Largo. Thank you, Chris, for coming to  ",fear
Now that he was committed to a course of action he felt exhilarated . ,joy
"Journalists were asked by the manager to attend a midday conference at Celtic Park in the expectation that Brady would be commenting on his dismay over anonymous , directorial criticism of the team 's progress . ",fear
" Oh , this one is perfect . ",anger
They 're frightened to death . ,fear
 men ! ,neutral
 Thanks . ,neutral
@rvberloo Maak als surprise een lege kartonnen doos en noem het een  ,surprise
"Designing lots, and lots of dresses!! ",joy
"Depression flattens the voice almost to monotony ; movement is slowed , and a dejected facial expression is characteristic of many people when they are in a low mood . ",sadness
When my chief accused me of an error that I hadn't made.,anger
 I think someone is stalking me . ,fear
"weer thuis, nu nog snel een gedicht maken en kadootjes inpakken voor vanavond! ",surprise
The sh*t has just hit the metaphorical fan   ,fear
When I fell crazily in love with a beautiful girl and she returned my love.,joy
Hollywood undead and Twitter...16 hour car ride back to wisco! ,joy
"You're not afraid of the dark, you're afraid of what's in it. ",fear
Be truly glad. There is wonderful ahead! I Peter 1:6 #turnbacktogod #jesustweeters,joy
&quot;@CU_Problems: No Booster Juice on campus. #CUProblems&quot;@Marcfalardeau12 #sorry..,sadness
"Me &amp; no.2 son this morning. Made a batman mask, built a train track &amp; now off to the shop. Yogi Bear on DVD later  ",surprise
@danecook at least you could say that it is 100% natural. Please don't teach that trick to the little &quot;cookies&quot;    ,joy
"I had an appointment with a good friend. He came 3 hours later than we agreed upon. During the last hour of waiting I was afraid something might had happened, because usally he is in time.",fear
the heartstopping moment where you think you've pulled out your headphones in the silent library. ,fear
Walking alone in the dark in a strange street.,fear
False Evidence Appearing Real... ,fear
ONE MUST UNDERSTAND WHERE THEY CUM FROM TO ACCEPT THE STRUGGLE TO GET WHERE THEY'RE GOIN! COMES IN THE MORNING,joy
Recently I happened to remain alone for a long time.,sadness
